id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
284054,Black Panther,7.39,21053,Released,2/13/2018,1349926083,135,FALSE,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,200000000,https://www.marvel.com/movies/black-panther,tt1825683,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",43.665,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,Long live the king.,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,"English, Korean, Swahili, Xhosa","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
284052,Doctor Strange,7.427,20935,Released,10/25/2016,676343174,115,FALSE,/qUv51IFUvVRAP2379ThmA3eLJx6.jpg,180000000,http://marvel.com/doctorstrange,tt1211837,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",70.535,/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,The impossibilities are endless.,"Action, Adventure, Fantasy",Marvel Studios,United States of America,English,"magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
76341,Mad Max: Fury Road,7.582,20911,Released,5/13/2015,378858340,121,FALSE,/8yACFuo4OaIiKr9hHFlmPcGalKx.jpg,150000000,https://www.warnerbros.com/movies/mad-max-fury-road,tt1392190,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",78.319,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,What a Lovely Day.,"Action, Adventure, Science Fiction","Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures","Australia, United States of America, South Africa",English,"rescue, future, australia, chase, dystopia, post-apocalyptic future, survival, on the run, on the road, convoy, peak oil, dark future"
16869,Inglourious Basterds,8.215,20746,Released,8/19/2009,321457747,153,FALSE,/8pEnePgGyfUqj8Qa6d91OZQ6Aih.jpg,70000000,,tt0361748,en,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",59.162,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,Once upon a time in Nazi occupied France...,"Drama, Thriller, War","The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films","France, Germany, United States of America","German, English, French, Italian","guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, revisionist history, adolf hitler"
70160,The Hunger Games,7.193,20636,Released,3/12/2012,694394724,142,FALSE,/yDbyVT8tTOgXUrUXNkHEUqbxb1K.jpg,75000000,http://www.thehungergames.movie/,tt1392170,en,The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",29.577,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,May The Odds Be Ever In Your Favor.,"Science Fiction, Adventure, Fantasy","Lionsgate, Color Force",United States of America,English,"based on novel or book, revolution, dystopia, female protagonist, bow and arrow, game, archery, death match, forced to kill, based on young adult novel"
315635,Spider-Man: Homecoming,7.345,20507,Released,7/5/2017,880166924,133,FALSE,/fn4n6uOYcB6Uh89nbNPoU2w80RV.jpg,175000000,http://www.spidermanhomecoming.com,tt2250912,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",65.88,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,Homework can wait. The city can't.,"Action, Adventure, Science Fiction, Drama","Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",United States of America,English,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, marvel cinematic universe (mcu)"
672,Harry Potter and the Chamber of Secrets,7.721,20390,Released,11/13/2002,876688482,161,FALSE,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,100000000,https://www.warnerbros.com/movies/harry-potter-and-chamber-secrets/,tt0295297,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",121.699,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,Hogwarts is back in session.,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films, 1492 Pictures","United Kingdom, United States of America",English,"witch, flying car, elves, magic, sword, diary, child hero, school of witchcraft, giant spider, black magic, giant snake, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel, wizarding world"
283995,Guardians of the Galaxy Vol. 2,7.624,20353,Released,4/19/2017,863756051,137,FALSE,/aJn9XeesqsrSLKcHfHP4u5985hn.jpg,200000000,http://marvel.com/movies/movie/221/guardians_of_the_galaxy_vol_2,tt3896198,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,67.553,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,Obviously.,"Science Fiction, Adventure, Action",Marvel Studios,United States of America,English,"superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
121,The Lord of the Rings: The Two Towers,8.385,20274,Released,12/18/2002,926287400,179,FALSE,/zcc0My3G4SYR72VuEYHNcUWkkW0.jpg,79000000,http://www.lordoftherings.net/,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",78.73,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,A New Power Is Rising.,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,"mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery"
1771,Captain America: The First Avenger,6.995,20269,Released,7/22/2011,370569774,124,FALSE,/4NWWpT0jiMUak8r6jfpvG4eBgFU.jpg,140000000,https://www.marvel.com/movies/captain-america-the-first-avenger,tt0458339,en,Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",43.665,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,When patriots become heroes,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,"French, Norwegian, English","new york city, nazi, superhero, world war ii, heroism, shield, based on comic, super soldier, period drama, brooklyn, new york city, aftercreditsstinger, marvel cinematic universe (mcu), origin story, soldiers, war"
